UID,REFCAT,Vulnerabilidad,SA,GradoDanio,PGA,Suelo,pNull,pLow,pMod,pExt,pCom,pMean,ojo,year,floor,facadeL,Escombro
1151,4403605XG1740C,RC31-LOW,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,2015,2,19.65,0
1152,4403606XG1740C,M34-PRE,0.35,None,0.17,B,0.772,0.219,0.008,0.001,0.0,None,Masonry,1981,3,10.31,0
1153,4403607XG1740C,RC31-PRE,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1968,1,7.19,0
1154,4403608XG1740C,M34-PRE,0.349,None,0.17,B,0.773,0.218,0.008,0.001,0.0,None,Masonry,1958,1,42.5,0
1155,4403609XG1740C,RC31-PRE,0.214,None,0.169,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1989,3,23.54,0
1156,4403701XG1740C,M31-PRE,0.362,None,0.169,B,0.612,0.357,0.027,0.004,0.0,None,Masonry,1935,1,36.26,0
1157,4403702XG1740C,M31-PRE,0.362,None,0.169,B,0.61,0.358,0.027,0.004,0.0,None,Masonry,1943,2,39.56,0
1158,4403901XG1740C,M31-PRE,0.362,None,0.169,B,0.611,0.358,0.027,0.004,0.0,None,Masonry,1981,3,52.27,0
1159,4404501XG1740C,RC31-PRE,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1975,3,39.9,0
1160,4404502XG1740C,RC31-PRE,0.214,None,0.169,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1960,3,28.88,0
1161,4404503XG1740C,M31-PRE,0.362,None,0.169,B,0.61,0.358,0.027,0.004,0.0,None,Masonry,1920,1,22.06,0
1162,4404504XG1740C,M11-PRE,0.347,Moderate,0.169,B,0.019,0.183,0.377,0.264,0.156,Moderate,Masonry,1900,2,6.06,0.01822
1163,4404505XG1740C,RC31-PRE,0.214,None,0.169,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1960,2,17.18,0
1164,4404506XG1740C,RC31-PRE,0.122,None,0.169,B,0.754,0.182,0.057,0.006,0.001,None,Reinforced Concrete,1960,4,25.56,0
1165,4404507XG1740C,M34-PRE,0.21,Sligth,0.169,B,0.378,0.526,0.075,0.019,0.002,Sligth,Masonry,1945,4,19.24,0.01078
1166,4404508XG1740C,M34-PRE,0.349,None,0.169,B,0.774,0.217,0.008,0.001,0.0,None,Masonry,1945,2,13.06,0
1167,4404509XG1740C,RC31-PRE,0.213,None,0.169,B,0.859,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1945,3,6.93,0
1168,4404510XG1740C,M34-PRE,0.349,None,0.169,B,0.775,0.217,0.008,0.001,0.0,None,Masonry,1950,1,13.82,0
1169,4404511XG1740C,M11-PRE,0.346,Moderate,0.169,B,0.02,0.184,0.378,0.264,0.156,Moderate,Masonry,1920,2,17.6,0.02055
1170,4404512XG1740C,M11-PRE,0.346,Moderate,0.169,B,0.02,0.184,0.378,0.264,0.156,Moderate,Masonry,1900,1,18.38,0.0164
1171,4404513XG1740C,M31-PRE,0.362,None,0.169,B,0.611,0.357,0.027,0.004,0.0,None,Masonry,1920,1,36.71,0
1172,4404514XG1740C,M31-PRE,0.362,None,0.169,B,0.612,0.357,0.027,0.004,0.0,None,Masonry,1935,4,33.91,0
1173,4404515XG1740C,RC31-PRE,0.213,None,0.169,B,0.859,0.114,0.025,0.002,0.0,None,Reinforced Concrete,1960,2,10.02,0
1174,4404516XG1740C,M31-PRE,0.362,None,0.169,B,0.611,0.357,0.027,0.004,0.0,None,Masonry,1920,1,14.43,0
1175,4405001XG1740E,M34-PRE,0.519,Sligth,0.217,C,0.352,0.54,0.084,0.022,0.002,Sligth,Masonry,1940,2,78.75,0.01061
1176,4405002XG1740E,RC31-PRE,0.214,None,0.169,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1965,2,24.83,0
1177,4405004XG1740E,RC31-PRE,0.212,None,0.168,B,0.86,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1970,2,119.75,0
1178,4405006XG1740E,RC31-PRE,0.212,None,0.168,B,0.861,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1991,3,15.3,0
1179,4405007XG1740E,RC31-PRE,0.212,None,0.168,B,0.861,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1960,2,36.79,0
1180,4405009XG1740E,RC31-PRE,0.212,None,0.168,B,0.86,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1975,1,77.25,0
1181,4405010XG1740E,RC31-PRE,0.212,None,0.168,B,0.86,0.114,0.024,0.002,0.0,None,Reinforced Concrete,1980,3,127.33,0
1182,4405011XG1740E,RC31-PRE,0.213,None,0.169,B,0.859,0.114,0.024,0.002,0.0,None,Reinforced Concrete,1970,1,59.23,0
1183,4405012XG1740E,M31-PRE,0.361,None,0.169,B,0.612,0.356,0.027,0.004,0.0,None,Masonry,1940,2,59.04,0
1184,4405014XG1740E,RC31-PRE,0.212,None,0.168,B,0.861,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1968,3,20.37,0
1185,4405015XG1740E,M34-PRE,0.346,None,0.168,B,0.78,0.211,0.008,0.001,0.0,None,Masonry,1970,3,24.7,0
1186,4405016XG1740E,RC31-PRE,0.212,None,0.168,B,0.861,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1980,3,30.53,0
1187,4405017XG1740E,RC31-PRE,0.212,None,0.168,B,0.861,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1975,2,10.44,0
1188,4405018XG1740E,RC31-PRE,0.212,None,0.168,B,0.861,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1980,2,11.34,0
1189,4405019XG1740E,RC31-PRE,0.122,None,0.168,B,0.757,0.181,0.056,0.006,0.001,None,Reinforced Concrete,1980,4,11.58,0
1190,4405020XG1740E,RC31-PRE,0.212,None,0.168,B,0.861,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1955,3,48.84,0
1191,4405021XG1740E,RC31-LOW,0.212,None,0.168,B,0.861,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1997,2,20.77,0
1192,4405022XG1740E,M34-PRE,0.346,None,0.168,B,0.78,0.212,0.008,0.001,0.0,None,Masonry,1950,2,21.16,0
1193,4405023XG1740E,M34-PRE,0.347,None,0.168,B,0.779,0.212,0.008,0.001,0.0,None,Masonry,1972,3,4.05,0
1194,4405024XG1740E,RC31-PRE,0.212,None,0.168,B,0.86,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1972,3,10.44,0
1195,4405025XG1740E,M34-PRE,0.347,None,0.168,B,0.779,0.213,0.008,0.001,0.0,None,Masonry,1940,2,6.94,0
1196,4405026XG1740E,M34-PRE,0.347,None,0.168,B,0.779,0.213,0.008,0.001,0.0,None,Masonry,1960,3,9.52,0
1197,4405027XG1740E,RC31-PRE,0.212,None,0.168,B,0.86,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1960,2,31.34,0
1198,4405028XG1740E,RC31-PRE,0.212,None,0.168,B,0.86,0.114,0.024,0.002,0.0,None,Reinforced Concrete,1960,2,28.18,0
1199,4405029XG1740E,M34-PRE,0.347,None,0.168,B,0.778,0.214,0.008,0.001,0.0,None,Masonry,1960,1,13.38,0
1200,4405030XG1740E,M31-PRE,0.36,None,0.168,B,0.616,0.354,0.026,0.004,0.0,None,Masonry,1910,1,17.42,0
1201,4405031XG1740E,RC31-PRE,0.213,None,0.168,B,0.86,0.114,0.024,0.002,0.0,None,Reinforced Concrete,1950,3,13.83,0
1202,4405032XG1740E,M34-PRE,0.347,None,0.169,B,0.777,0.214,0.008,0.001,0.0,None,Masonry,1945,1,22.86,0
1203,4405033XG1740E,RC31-PRE,0.213,None,0.169,B,0.859,0.114,0.025,0.002,0.0,None,Reinforced Concrete,1994,3,24.75,0
1204,4405034XG1740E,M11-PRE,0.346,Moderate,0.169,B,0.02,0.185,0.378,0.263,0.155,Moderate,Masonry,1900,2,6.04,0.01826
1205,4405035XG1740E,M31-PRE,0.361,None,0.169,B,0.613,0.356,0.027,0.004,0.0,None,Masonry,1900,1,6.52,0
1206,4405036XG1740E,M31-PRE,0.361,None,0.169,B,0.613,0.356,0.027,0.004,0.0,None,Masonry,1930,2,14.11,0
1207,4405037XG1740E,M11-PRE,0.346,Moderate,0.169,B,0.02,0.184,0.378,0.263,0.155,Moderate,Masonry,1900,1,14.31,0.01736
1208,4405038XG1740E,M34-PRE,0.348,None,0.169,B,0.775,0.216,0.008,0.001,0.0,None,Masonry,1970,3,16.19,0
1209,4405039XG1740E,M34-PRE,0.348,None,0.169,B,0.775,0.216,0.008,0.001,0.0,None,Masonry,1945,2,138.2,0
1210,4405040XG1740E,RC31-PRE,0.365,Sligth,0.216,C,0.598,0.259,0.122,0.018,0.003,Sligth,Reinforced Concrete,1985,3,19.32,0.00407
